domain,fraction,fold,repeat,n_train,n_test,MAE,skill
movie,0.25,29,0,223,89,0.5674157303370787,0.2151354462837307
movie,0.25,29,1,223,89,0.5112359550561798,0.2928448080378169
movie,0.25,29,2,223,89,0.5056179775280899,0.30061574421322546
movie,0.5,29,0,446,89,0.5280898876404494,0.2695319995115911
movie,0.5,29,1,446,89,0.5337078651685393,0.26176106333618254
movie,0.5,29,2,446,89,0.5224719101123596,0.2773029356869996
movie,0.75,29,0,668,89,0.5224719101123596,0.2773029356869996
movie,0.75,29,1,668,89,0.4606741573033708,0.36278323361649434
movie,0.75,29,2,668,89,0.5337078651685393,0.26176106333618254
movie,1.0,29,0,891,89,0.4943820224719101,0.31615761656404273
movie,0.25,30,0,221,96,0.5833333333333334,0.2731544018323838
movie,0.25,30,1,221,96,0.5885416666666666,0.26666470899160166
movie,0.25,30,2,221,96,0.5677083333333334,0.29262348035473074
movie,0.5,30,0,442,96,0.5677083333333334,0.29262348035473074
movie,0.5,30,1,442,96,0.5677083333333334,0.29262348035473074
movie,0.5,30,2,442,96,0.515625,0.35752040876255364
movie,0.75,30,0,663,96,0.5625,0.299113173195513
movie,0.75,30,1,663,96,0.546875,0.3185822517178599
movie,0.75,30,2,663,96,0.5572916666666666,0.3056028660362954
movie,1.0,30,0,884,96,0.5833333333333334,0.2731544018323838
movie,0.25,31,0,220,99,0.601010101010101,0.2677204403218596
movie,0.25,31,1,220,99,0.5959595959595959,0.273874050067054
movie,0.25,31,2,220,99,0.5303030303030303,0.353870976754582
movie,0.5,31,0,440,99,0.5656565656565656,0.3107957085382208
movie,0.5,31,1,440,99,0.5656565656565656,0.3107957085382208
movie,0.5,31,2,440,99,0.5252525252525253,0.3600245864997763
movie,0.75,31,0,661,99,0.5404040404040404,0.34156375726419297
movie,0.75,31,1,661,99,0.5252525252525253,0.3600245864997763
movie,0.75,31,2,661,99,0.5202020202020202,0.36617819624497083
movie,1.0,31,0,881,99,0.5151515151515151,0.37233180599016535
movie,0.25,32,0,220,98,0.5714285714285714,0.23368603965618906
movie,0.25,32,1,220,98,0.5561224489795918,0.2542123064511125
movie,0.25,32,2,220,98,0.5204081632653061,0.3021069289726007
movie,0.5,32,0,441,98,0.5663265306122449,0.24052812858783013
movie,0.5,32,1,441,98,0.5459183673469388,0.26789648431439483
movie,0.5,32,2,441,98,0.5357142857142857,0.2815806621776772
movie,0.75,32,0,662,98,0.5816326530612245,0.2200018617929067
movie,0.75,32,1,662,98,0.5612244897959183,0.2473702175194714
movie,0.75,32,2,662,98,0.5510204081632653,0.26105439538275377
movie,1.0,32,0,882,98,0.5408163265306123,0.274738573246036
movie,0.25,33,0,221,97,0.5721649484536082,0.31270072787961234
movie,0.25,33,1,221,97,0.5103092783505154,0.38700335189262725
movie,0.25,33,2,221,97,0.5051546391752577,0.3931952372270452
movie,0.5,33,0,442,97,0.520618556701031,0.37461958122379135
movie,0.5,33,1,442,97,0.5051546391752577,0.3931952372270452
movie,0.5,33,2,442,97,0.5,0.399387122561463
movie,0.75,33,0,662,97,0.5154639175257731,0.3808114665582094
movie,0.75,33,1,662,97,0.5154639175257731,0.3808114665582094
movie,0.75,33,2,662,97,0.5051546391752577,0.3931952372270452
movie,1.0,33,0,883,97,0.4948453608247423,0.40557900789588086
movie,0.25,34,0,221,97,0.5,0.286907219928067
movie,0.25,34,1,221,97,0.4793814432989691,0.3163131077660849
movie,0.25,34,2,221,97,0.4845360824742268,0.3089616358065804
movie,0.5,34,0,442,97,0.5051546391752577,0.27955574796856264
movie,0.5,34,1,442,97,0.4536082474226804,0.35307046756360716
movie,0.5,34,2,442,97,0.5,0.286907219928067
movie,0.75,34,0,662,97,0.5103092783505154,0.27220427600905817
movie,0.75,34,1,662,97,0.4536082474226804,0.35307046756360716
movie,0.75,34,2,662,97,0.4587628865979381,0.3457189956041028
movie,1.0,34,0,883,97,0.4845360824742268,0.3089616358065804
movie,0.25,35,0,222,90,0.55,0.2301576206619368
movie,0.25,35,1,222,90,0.49444444444444446,0.3079194771607311
movie,0.25,35,2,222,90,0.4888888888888889,0.31569566281061057
movie,0.5,35,0,445,90,0.46111111111111114,0.3545765910600076
movie,0.5,35,1,445,90,0.4666666666666667,0.34680040541012824
movie,0.5,35,2,445,90,0.48333333333333334,0.32347184846049004
movie,0.75,35,0,668,90,0.4666666666666667,0.34680040541012824
movie,0.75,35,1,668,90,0.45555555555555555,0.3623527767098871
movie,0.75,35,2,668,90,0.46111111111111114,0.3545765910600076
movie,1.0,35,0,890,90,0.4388888888888889,0.3856813336595254
movie,0.25,36,0,220,101,0.5742574257425742,0.2990719736028047
movie,0.25,36,1,220,101,0.5643564356435643,0.3111569395751701
movie,0.25,36,2,220,101,0.5693069306930693,0.3051144565889874
movie,0.5,36,0,440,101,0.5297029702970297,0.35345432047844905
movie,0.5,36,1,440,101,0.5742574257425742,0.2990719736028047
movie,0.5,36,2,440,101,0.5445544554455446,0.3353268715199009
movie,0.75,36,0,659,101,0.5445544554455446,0.3353268715199009
movie,0.75,36,1,659,101,0.5148514851485149,0.3715817694369973
movie,0.75,36,2,659,101,0.5396039603960396,0.34136935450608363
movie,1.0,36,0,879,101,0.5396039603960396,0.34136935450608363
movie,0.25,37,0,220,100,0.54,0.31487889273356384
movie,0.25,37,1,220,100,0.525,0.333910034602076
movie,0.25,37,2,220,100,0.57,0.2768166089965398
movie,0.5,37,0,440,100,0.555,0.2958477508650518
movie,0.5,37,1,440,100,0.485,0.3846597462514417
movie,0.5,37,2,440,100,0.545,0.3085351787773932
movie,0.75,37,0,660,100,0.545,0.3085351787773932
movie,0.75,37,1,660,100,0.49,0.378316032295271
movie,0.75,37,2,660,100,0.45,0.4290657439446366
movie,1.0,37,0,880,100,0.5,0.36562860438292955
movie,0.25,38,0,220,99,0.4494949494949495,0.2996570142374819
movie,0.25,38,1,220,99,0.5202020202020202,0.18949070187034422
movie,0.25,38,2,220,99,0.47474747474747475,0.2603119026777899
movie,0.5,38,0,440,99,0.43434343434343436,0.3232640811732971
movie,0.5,38,1,440,99,0.47474747474747475,0.2603119026777899
movie,0.5,38,2,440,99,0.45454545454545453,0.2917879919255436
movie,0.75,38,0,661,99,0.47474747474747475,0.2603119026777899
movie,0.75,38,1,661,99,0.4444444444444444,0.30752603654942035
movie,0.75,38,2,661,99,0.45454545454545453,0.2917879919255436
movie,1.0,38,0,881,99,0.4090909090909091,0.3626091927329892
movie,0.25,39,0,219,103,0.5194174757281553,0.34197018358273856
movie,0.25,39,1,219,103,0.5145631067961165,0.3481199949511241
movie,0.25,39,2,219,103,0.5,0.366569429056281
movie,0.5,39,0,438,103,0.5,0.366569429056281
movie,0.5,39,1,438,103,0.5194174757281553,0.34197018358273856
movie,0.5,39,2,438,103,0.46601941747572817,0.40961810863498027
movie,0.75,39,0,658,103,0.48058252427184467,0.3911686745298235
movie,0.75,39,1,658,103,0.5,0.366569429056281
movie,0.75,39,2,658,103,0.47572815533980584,0.39731848589820906
movie,1.0,39,0,877,103,0.49514563106796117,0.37271924042466664
movie,0.25,40,0,220,98,0.49489795918367346,0.3070081648522551
movie,0.25,40,1,220,98,0.5102040816326531,0.28557542768273714
movie,0.25,40,2,220,98,0.5102040816326531,0.28557542768273714
movie,0.5,40,0,441,98,0.5102040816326531,0.28557542768273714
movie,0.5,40,1,441,98,0.5663265306122449,0.20698872472783825
movie,0.5,40,2,441,98,0.5102040816326531,0.28557542768273714
movie,0.75,40,0,662,98,0.5051020408163265,0.2927196734059099
movie,0.75,40,1,662,98,0.5102040816326531,0.28557542768273714
movie,0.75,40,2,662,98,0.5,0.2998639191290824
movie,1.0,40,0,882,98,0.49489795918367346,0.3070081648522551
movie,0.25,41,0,222,91,0.532967032967033,0.3047183655040072
movie,0.25,41,1,222,91,0.5769230769230769,0.24737555028784297
movie,0.25,41,2,222,91,0.5439560439560439,0.2903826616999662
movie,0.5,41,0,444,91,0.5604395604395604,0.2688791059939045
movie,0.5,41,1,444,91,0.5494505494505495,0.28321480979794555
movie,0.5,41,2,444,91,0.554945054945055,0.27604695789592504
movie,0.75,41,0,667,91,0.5879120879120879,0.23303984648380172
movie,0.75,41,1,667,91,0.5714285714285714,0.2545434021898635
movie,0.75,41,2,667,91,0.521978021978022,0.31905406930804825
movie,1.0,41,0,889,91,0.5384615384615384,0.2975505136019867
