target,source,music,protocol,fraction,fold,repeat,N,MAE,skill,spearman
movie,game,False,C,0.25,6,0,102,0.7352941176470589,0.21582870888608374,0.6082905422324563
movie,game,False,C,0.5,6,0,102,0.6862745098039216,0.26810679496034495,0.7014866198944398
movie,game,False,C,1.0,6,0,102,0.696078431372549,0.25765117774549273,0.6738216343121023
movie,book,False,B,0.0,6,0,102,1.1715686274509804,-0.2494462571748397,-0.013302348834521454
movie,book,False,C,0.0,6,0,102,1.1715686274509804,-0.2494462571748397,-0.013302348834521454
movie,book,False,C,0.25,6,0,102,0.7009803921568627,0.2524233691380666,0.663352841090715
movie,book,False,C,0.5,6,0,102,0.7156862745098039,0.2367399433157883,0.674633139146805
movie,book,False,C,1.0,6,0,102,0.6764705882352942,0.27856241217519706,0.685500881598203
movie,tv+game,False,B,0.0,6,0,102,0.8676470588235294,0.07467787648557889,0.39211940617702645
movie,tv+game,False,C,0.0,6,0,102,0.8676470588235294,0.07467787648557889,0.39211940617702645
movie,tv+game,False,C,0.25,6,0,102,0.7254901960784313,0.22628432610093607,0.6521334800465396
movie,tv+game,False,C,0.5,6,0,102,0.6862745098039216,0.26810679496034495,0.7032854892842754
movie,tv+game,False,C,1.0,6,0,102,0.6715686274509803,0.2837902207826233,0.715287051341789
movie,tv+book,False,B,0.0,6,0,102,0.9215686274509803,0.01717198180389179,0.1407017428389889
movie,tv+book,False,C,0.0,6,0,102,0.9215686274509803,0.01717198180389179,0.1407017428389889
movie,tv+book,False,C,0.25,6,0,102,0.7254901960784313,0.22628432610093607,0.6745326345715419
movie,tv+book,False,C,0.5,6,0,102,0.6764705882352942,0.27856241217519706,0.704255820350407
movie,tv+book,False,C,1.0,6,0,102,0.6715686274509803,0.2837902207826233,0.7065246647222033
movie,game+book,False,B,0.0,6,0,102,0.9411764705882353,-0.00373925262581265,0.18611541559763967
movie,game+book,False,C,0.0,6,0,102,0.9411764705882353,-0.00373925262581265,0.18611541559763967
movie,game+book,False,C,0.25,6,0,102,0.7352941176470589,0.21582870888608374,0.6051154862086284
movie,game+book,False,C,0.5,6,0,102,0.7058823529411765,0.2471955605306404,0.6549277526930377
movie,game+book,False,C,1.0,6,0,102,0.7009803921568627,0.2524233691380666,0.6679652247128623
