domain,fraction,fold,repeat,n_train,n_test,MAE,skill
movie,0.25,32,1,225,100,0.55,0.3357666192533746
movie,0.25,32,2,225,100,0.54,0.34784358981240415
movie,0.5,32,0,450,100,0.555,0.3297281339738598
movie,0.5,32,1,450,100,0.515,0.37803601620997807
movie,0.5,32,2,450,100,0.575,0.3055741928558008
movie,0.75,32,0,675,100,0.52,0.3719975309304633
movie,0.75,32,1,675,100,0.54,0.34784358981240415
movie,0.75,32,2,675,100,0.54,0.34784358981240415
movie,1.0,32,0,900,100,0.545,0.34180510453288937
movie,0.25,33,0,225,100,0.545,0.2828947368421052
movie,0.25,33,1,225,100,0.575,0.24342105263157898
movie,0.25,33,2,225,100,0.545,0.2828947368421052
movie,0.5,33,0,450,100,0.51,0.32894736842105265
movie,0.5,33,1,450,100,0.525,0.3092105263157895
movie,0.5,33,2,450,100,0.48,0.368421052631579
movie,0.75,33,0,675,100,0.48,0.368421052631579
movie,0.75,33,1,675,100,0.48,0.368421052631579
movie,0.75,33,2,675,100,0.505,0.3355263157894737
movie,1.0,33,0,900,100,0.51,0.32894736842105265
movie,0.25,34,0,225,100,0.455,0.37784867821330903
movie,0.25,34,1,225,100,0.47,0.3573381950774841
movie,0.25,34,2,225,100,0.495,0.32315405651777585
movie,0.5,34,0,450,100,0.455,0.37784867821330903
movie,0.5,34,1,450,100,0.47,0.3573381950774841
movie,0.5,34,2,450,100,0.475,0.3505013673655425
movie,0.75,34,0,675,100,0.465,0.3641750227894257
movie,0.75,34,1,675,100,0.48,0.3436645396536008
movie,0.75,34,2,675,100,0.455,0.37784867821330903
movie,1.0,34,0,900,100,0.485,0.33682771194165917
movie,0.25,35,0,225,100,0.59,0.23923321585145707
movie,0.25,35,1,225,100,0.595,0.232786039714605
movie,0.25,35,2,225,100,0.63,0.1876558067566405
movie,0.5,35,0,450,100,0.59,0.23923321585145707
movie,0.5,35,1,450,100,0.58,0.25212756812516124
movie,0.5,35,2,450,100,0.6,0.2263388635777529
movie,0.75,35,0,675,100,0.605,0.21989168744090082
movie,0.75,35,1,675,100,0.575,0.2585747442620132
movie,0.75,35,2,675,100,0.61,0.21344451130404885
movie,1.0,35,0,900,100,0.63,0.1876558067566405
movie,0.25,36,0,225,100,0.5,0.3786675871591302
movie,0.25,36,1,225,100,0.51,0.3662409389023128
movie,0.25,36,2,225,100,0.54,0.32896099413186064
movie,0.5,36,0,450,100,0.515,0.3600276147739041
movie,0.5,36,1,450,100,0.455,0.4345875043148085
movie,0.5,36,2,450,100,0.465,0.42216085605799103
movie,0.75,36,0,675,100,0.505,0.3724542630307215
movie,0.75,36,1,675,100,0.465,0.42216085605799103
movie,0.75,36,2,675,100,0.48,0.40352088367276506
movie,1.0,36,0,900,100,0.445,0.4470141525716259
movie,0.25,37,0,225,100,0.55,0.26603600130482485
movie,0.25,37,1,225,100,0.57,0.23934640135227314
movie,0.25,37,2,225,100,0.495,0.33943240117434237
movie,0.5,37,0,450,100,0.505,0.32608760119806646
movie,0.5,37,1,450,100,0.595,0.20598440141158336
movie,0.5,37,2,450,100,0.515,0.31274280122179055
movie,0.75,37,0,675,100,0.51,0.3194152012099285
movie,0.75,37,1,675,100,0.56,0.25269120132854894
movie,0.75,37,2,675,100,0.525,0.29939800124551463
movie,1.0,37,0,900,100,0.505,0.32608760119806646
movie,0.25,38,0,225,100,0.505,0.2989140494847907
movie,0.25,38,1,225,100,0.455,0.36832850003085105
movie,0.25,38,2,225,100,0.545,0.24338248904794246
movie,0.5,38,0,450,100,0.505,0.2989140494847907
movie,0.5,38,1,450,100,0.495,0.3127969395940028
movie,0.5,38,2,450,100,0.505,0.2989140494847907
movie,0.75,38,0,675,100,0.48,0.3336212747578209
movie,0.75,38,1,675,100,0.51,0.2919726044301847
movie,0.75,38,2,675,100,0.485,0.32667982970321485
movie,1.0,38,0,900,100,0.51,0.2919726044301847
movie,0.25,39,0,225,100,0.455,0.40907385494530857
movie,0.25,39,1,225,100,0.495,0.35712430373170934
movie,0.25,39,2,225,100,0.52,0.32465583422320976
movie,0.5,39,0,450,100,0.46,0.4025801610436086
movie,0.5,39,1,450,100,0.5,0.3506306098300094
movie,0.5,39,2,450,100,0.53,0.31166844641980995
movie,0.75,39,0,675,100,0.49,0.3636179976334092
movie,0.75,39,1,675,100,0.565,0.2662125891079107
movie,0.75,39,2,675,100,0.56,0.27270628300961053
movie,1.0,39,0,900,100,0.49,0.3636179976334092
movie,0.25,40,0,225,100,0.49,0.36431516129962227
movie,0.25,40,1,225,100,0.46,0.4032346412200536
movie,0.25,40,2,225,100,0.485,0.3708017412863609
movie,0.5,40,0,450,100,0.425,0.44864070112722343
movie,0.5,40,1,450,100,0.445,0.42269438118026925
movie,0.5,40,2,450,100,0.46,0.4032346412200536
movie,0.75,40,0,675,100,0.46,0.4032346412200536
movie,0.75,40,1,675,100,0.435,0.4356675411537463
movie,0.75,40,2,675,100,0.455,0.4097212212067921
movie,1.0,40,0,900,100,0.42,0.45512728111396195
movie,0.25,41,0,225,100,0.47,0.3463143254520168
movie,0.25,41,1,225,100,0.525,0.26981919332406124
movie,0.25,41,2,225,100,0.51,0.2906815020862309
movie,0.5,41,0,450,100,0.53,0.26286509040333805
